time,motion,distance,co2,label,timestamp
11:26:40,1,80.14,422,1,1495121200.0
11:26:41,1,72.97,406,1,1495121201.0
11:26:42,1,-1.0,406,1,1495121202.0
11:26:43,1,-1.0,406,1,1495121203.0
11:26:44,1,74.98,406,1,1495121204.0
11:26:45,1,-1.0,401,1,1495121205.0
11:26:46,1,67.26,401,1,1495121206.0
11:26:47,0,-1.0,401,1,1495121207.0
11:26:48,0,-1.0,414,1,1495121208.0
11:26:49,0,-1.0,414,1,1495121209.0
11:26:50,0,-1.0,414,1,1495121210.0
11:26:51,0,19.78,414,1,1495121211.0
11:26:52,1,15.48,414,1,1495121212.0
11:26:53,1,-1.0,414,1,1495121213.0
11:26:54,1,82.47,414,1,1495121214.0
11:26:55,1,-1.0,414,1,1495121215.0
11:26:56,1,-1.0,426,1,1495121216.0
11:26:57,1,41.72,426,1,1495121217.0
11:26:58,1,41.24,426,1,1495121218.0
11:26:59,1,72.12,426,1,1495121219.0
11:27:00,1,55.48,430,1,1495121220.0
11:27:01,1,-1.0,430,1,1495121221.0
11:27:02,1,75.31,430,1,1495121222.0
11:27:03,1,75.05,430,1,1495121223.0
11:27:04,1,-1.0,427,1,1495121224.0
11:27:05,1,-1.0,427,1,1495121225.0
11:27:06,0,71.29,427,1,1495121226.0
11:27:07,0,-1.0,425,1,1495121227.0
11:27:08,0,-1.0,425,1,1495121228.0
11:27:09,0,70.12,425,1,1495121229.0
11:27:10,0,-1.0,425,1,1495121230.0
11:27:11,0,70.14,421,1,1495121231.0
11:27:12,1,71.48,421,1,1495121232.0
11:27:13,1,75.38,421,1,1495121233.0
11:27:14,1,73.81,421,1,1495121234.0
11:27:15,1,-1.0,418,1,1495121235.0
11:27:16,1,-1.0,418,1,1495121236.0
11:27:17,1,76.81,418,1,1495121237.0
11:27:18,1,77.03,418,1,1495121238.0
11:27:19,1,68.48,416,1,1495121239.0
11:27:20,1,71.26,416,1,1495121240.0
11:27:21,1,71.5,416,1,1495121241.0
11:27:22,1,-1.0,416,1,1495121242.0
11:27:23,1,72.38,417,1,1495121243.0
11:27:24,1,74.81,417,1,1495121244.0
11:27:25,1,-1.0,417,1,1495121245.0
11:27:26,0,69.86,421,1,1495121246.0
11:27:27,0,-1.0,421,1,1495121247.0
11:27:28,0,76.74,421,1,1495121248.0
11:27:29,0,-1.0,421,1,1495121249.0
11:27:30,0,-1.0,424,1,1495121250.0
11:27:31,0,71.64,424,1,1495121251.0
11:27:32,0,73.9,424,1,1495121252.0
11:27:33,0,78.83,424,1,1495121253.0
11:27:34,0,70.33,423,1,1495121254.0
11:27:35,0,76.21,423,1,1495121255.0
11:27:36,0,-1.0,423,1,1495121256.0
11:27:37,1,71.69,423,1,1495121257.0
11:27:38,1,70.26,423,1,1495121258.0
11:27:39,1,71.5,423,1,1495121259.0
11:27:40,1,62.22,423,1,1495121260.0
11:27:41,1,-1.0,423,1,1495121261.0
11:27:42,1,-1.0,421,1,1495121262.0
11:27:43,1,-1.0,421,1,1495121263.0
11:27:44,1,71.79,421,1,1495121264.0
11:27:45,1,71.16,421,1,1495121265.0
11:27:46,1,-1.0,421,1,1495121266.0
11:27:47,1,-1.0,421,1,1495121267.0
11:27:48,1,-1.0,421,1,1495121268.0
11:27:49,1,71.9,429,1,1495121269.0
11:27:50,1,74.48,429,1,1495121270.0
11:27:51,1,-1.0,429,1,1495121271.0
11:27:52,0,29.26,429,1,1495121272.0
11:27:53,0,33.95,440,1,1495121273.0
11:27:54,0,33.33,440,1,1495121274.0
11:27:55,0,-1.0,440,1,1495121275.0
11:27:56,1,70.07,440,1,1495121276.0
11:27:57,1,-1.0,450,1,1495121277.0
11:27:58,1,74.71,450,1,1495121278.0
11:27:59,1,64.07,450,1,1495121279.0
11:28:00,1,-1.0,450,1,1495121280.0
11:28:01,1,71.09,458,1,1495121281.0
11:28:02,1,-1.0,458,1,1495121282.0
11:28:03,1,-1.0,458,1,1495121283.0
11:28:04,1,-1.0,470,1,1495121284.0
11:28:05,1,-1.0,470,1,1495121285.0
11:28:06,1,73.53,470,1,1495121286.0
11:28:07,1,33.33,470,1,1495121287.0
11:28:08,1,-1.0,487,1,1495121288.0
11:28:09,0,12.02,487,1,1495121289.0
11:28:10,0,17.81,487,1,1495121290.0
11:28:11,0,16.57,487,1,1495121291.0
