Time,Motion (Triggered),Distance (in CM),CO2 ( in PPM),Manual Occupancy (1 = TRUE)
11:26:40,1,80.14,422,1
11:26:41,1,72.97,406,1
11:26:42,1,-1,406,1
11:26:43,1,-1,406,1
11:26:44,1,74.98,406,1
11:26:45,1,-1,401,1
11:26:46,1,67.26,401,1
11:26:47,0,-1,401,1
11:26:48,0,-1,414,1
11:26:49,0,-1,414,1
11:26:50,0,-1,414,1
11:26:51,0,19.78,414,1
11:26:52,1,15.48,414,1
11:26:53,1,-1,414,1
11:26:54,1,82.47,414,1
11:26:55,1,-1,414,1
11:26:56,1,-1,426,1
11:26:57,1,41.72,426,1
11:26:58,1,41.24,426,1
11:26:59,1,72.12,426,1
11:27:00,1,55.48,430,1
11:27:01,1,-1,430,1
11:27:02,1,75.31,430,1
11:27:03,1,75.05,430,1
11:27:04,1,-1,427,1
11:27:05,1,-1,427,1
11:27:06,0,71.29,427,1
11:27:07,0,-1,425,1
11:27:08,0,-1,425,1
11:27:09,0,70.12,425,1
11:27:10,0,-1,425,1
11:27:11,0,70.14,421,1
11:27:12,1,71.48,421,1
11:27:13,1,75.38,421,1
11:27:14,1,73.81,421,1
11:27:15,1,-1,418,1
11:27:16,1,-1,418,1
11:27:17,1,76.81,418,1
11:27:18,1,77.03,418,1
11:27:19,1,68.48,416,1
11:27:20,1,71.26,416,1
11:27:21,1,71.5,416,1
11:27:22,1,-1,416,1
11:27:23,1,72.38,417,1
11:27:24,1,74.81,417,1
11:27:25,1,-1,417,1
11:27:26,0,69.86,421,1
11:27:27,0,-1,421,1
11:27:28,0,76.74,421,1
11:27:29,0,-1,421,1
11:27:30,0,-1,424,1
11:27:31,0,71.64,424,1
11:27:32,0,73.9,424,1
11:27:33,0,78.83,424,1
11:27:34,0,70.33,423,1
11:27:35,0,76.21,423,1
11:27:36,0,-1,423,1
11:27:37,1,71.69,423,1
11:27:38,1,70.26,423,1
11:27:39,1,71.5,423,1
11:27:40,1,62.22,423,1
11:27:41,1,-1,423,1
11:27:42,1,-1,421,1
11:27:43,1,-1,421,1
11:27:44,1,71.79,421,1
11:27:45,1,71.16,421,1
11:27:46,1,-1,421,1
11:27:47,1,-1,421,1
11:27:48,1,-1,421,1
11:27:49,1,71.9,429,1
11:27:50,1,74.48,429,1
11:27:51,1,-1,429,1
11:27:52,0,29.26,429,1
11:27:53,0,33.95,440,1
11:27:54,0,33.33,440,1
11:27:55,0,-1,440,1
11:27:56,1,70.07,440,1
11:27:57,1,-1,450,1
11:27:58,1,74.71,450,1
11:27:59,1,64.07,450,1
11:28:00,1,-1,450,1
11:28:01,1,71.09,458,1
11:28:02,1,-1,458,1
11:28:03,1,-1,458,1
11:28:04,1,-1,470,1
11:28:05,1,-1,470,1
11:28:06,1,73.53,470,1
11:28:07,1,33.33,470,1
11:28:08,1,-1,487,1
11:28:09,0,12.02,487,1
11:28:10,0,17.81,487,1
11:28:11,0,16.57,487,1
11:28:12,0,-1,581,1
11:28:13,0,15.34,581,1
11:28:14,0,-1,581,1
11:28:15,0,-1,581,1
11:28:16,0,-1,726,1
11:28:17,0,72.72,726,1
11:28:18,1,71.83,726,1
11:28:19,1,74.5,820,1
11:28:20,1,68.71,820,1
11:28:21,1,70.28,820,1
11:28:22,1,73,820,1
11:28:23,1,-1,872,1
11:28:24,1,-1,872,1
11:28:25,1,69.86,872,1
11:28:26,1,69.59,872,1
11:28:27,1,65.22,921,1
11:28:28,1,69.24,921,1
11:28:29,1,-1,921,1
11:28:30,1,71.57,921,1
11:28:31,1,-1,954,1
11:28:32,0,72.52,954,1
11:28:33,0,67.81,954,1
11:28:34,0,66.72,954,1
11:28:35,0,65.86,968,1
11:28:36,0,65.43,968,1
11:28:37,0,65.9,968,1
11:28:38,0,-1,965,1
11:28:39,0,-1,965,1
11:28:40,1,-1,965,1
11:28:41,1,-1,965,1
11:28:42,1,-1,955,0
11:28:43,1,-1,955,0
11:28:44,1,-1,955,0
11:28:45,1,-1,955,0
11:28:46,1,-1,904,0
11:28:47,1,-1,904,0
11:28:48,1,-1,904,0
11:28:49,1,-1,904,0
11:28:50,1,-1,853,0
11:28:51,1,-1,853,0
11:28:52,1,-1,853,0
11:28:53,1,-1,809,0
11:28:54,0,-1,809,0
11:28:55,0,-1,809,0
11:28:56,0,-1,809,0
11:28:57,0,-1,767,0
11:28:58,0,-1,767,0
11:28:59,0,-1,767,0
11:29:00,0,-1,767,0
11:29:01,0,-1,734,0
11:29:02,0,-1,734,0
11:29:03,0,-1,734,0
11:29:04,0,-1,734,0
11:29:05,0,-1,708,0
11:29:06,0,-1,708,0
11:29:07,0,-1,708,0
11:29:08,0,-1,700,0
11:29:09,0,-1,700,0
11:29:10,0,-1,700,0
11:29:11,0,-1,700,0
11:29:12,0,-1,685,0
11:29:13,0,-1,685,0
11:29:14,0,-1,685,0
11:29:15,0,-1,685,0
11:29:16,0,-1,670,0
11:29:17,0,-1,670,0
11:29:18,0,-1,670,0
11:29:19,0,-1,670,0
11:29:20,0,-1,660,0
11:29:21,0,-1,660,0
11:29:22,0,-1,660,0
11:29:23,0,-1,650,0
11:29:24,0,-1,650,0
11:29:25,0,-1,650,0
11:29:26,0,-1,650,0
11:29:27,0,-1,644,0
11:29:28,0,-1,644,0
11:29:29,0,-1,644,0
11:29:30,0,-1,644,0
11:29:31,0,-1,642,0
11:29:32,0,-1,642,0
11:29:33,0,-1,642,0
11:29:34,0,-1,642,0
11:29:35,0,-1,640,0
11:29:36,0,-1,640,0
11:29:37,0,-1,640,0
11:29:38,0,-1,641,0
11:29:39,0,-1,641,0
11:29:40,0,-1,641,0
11:29:41,0,-1,641,0
11:29:42,0,-1,638,0
11:29:43,0,-1,638,0
11:29:44,0,-1,638,0
11:29:45,0,-1,638,0
11:29:46,0,-1,638,0
11:29:47,0,-1,638,0
11:29:48,0,-1,638,0
11:29:49,0,-1,638,0
11:29:50,0,-1,638,0
11:29:51,0,-1,638,0
11:29:52,0,-1,638,0
11:29:53,0,-1,639,0
11:29:54,0,-1,639,0
11:29:55,0,-1,639,0
11:29:56,0,-1,639,0
11:29:57,0,-1,639,0
11:29:58,0,-1,639,0
11:29:59,0,-1,639,0
11:30:00,0,-1,639,0
11:30:01,0,-1,639,0
11:30:02,0,-1,639,0
11:30:03,0,-1,639,0
11:30:04,0,-1,639,0
11:30:05,0,-1,639,0
11:30:06,0,-1,639,0
11:30:07,0,-1,639,0
11:30:08,0,-1,638,0
11:30:09,0,-1,638,0
11:30:10,0,-1,638,0
11:30:11,0,-1,638,0
11:30:12,0,-1,637,0
11:30:13,0,-1,637,0
11:30:14,0,-1,637,0
11:30:15,0,-1,637,0
11:30:16,0,-1,638,0
11:30:17,0,-1,638,0
11:30:18,0,-1,638,0
11:30:19,0,-1,637,0
11:30:20,0,-1,637,0
11:30:21,0,-1,637,0
11:30:22,0,-1,637,0
